izoneareaid,level,vroleid,expchange,expreason,expsubreason,mapid,sumexp,,54939
1204,46,0X04B402013C336A85,15,20,0,34,920650,,
1204,46,0X04B402013C336A85,17,20,0,34,920763,,
1204,46,0X04B402013C336A85,17,20,0,34,920959,,
1204,46,0X04B402013C336A85,15,20,0,34,921055,,
1204,44,0X04B402013C336A85,140,20,0,21,376039,,
1204,44,0X04B402013C336A85,134,20,0,21,376173,,
1204,44,0X04B402013C336A85,134,20,0,21,376307,,
1204,44,0X04B402013C336A85,140,20,0,21,376587,,
1204,44,0X04B402013C336A85,140,20,0,21,376447,,
1204,44,0X04B402013C336A85,134,20,0,21,376721,,
1204,44,0X04B402013C336A85,134,20,0,21,376995,,
1204,44,0X04B402013C336A85,140,20,0,21,376861,,
1204,44,0X04B402013C336A85,14,20,0,21,401668,,
1204,44,0X04B402013C336A85,14,20,0,21,401682,,
1204,44,0X04B402013C336A85,14,20,0,21,401696,,
1204,44,0X04B402013C336A85,13,20,0,21,401709,,
1204,44,0X04B402013C336A85,14,20,0,21,401723,,
1204,44,0X04B402013C336A85,13,20,0,21,401736,,
1204,44,0X04B402013C336A85,13,20,0,21,401749,,
1204,44,0X04B402013C336A85,13,20,0,21,401762,,
1204,44,0X04B402013C336A85,14,20,0,21,401776,,
1204,44,0X04B402013C336A85,14,20,0,21,401790,,
1204,39,0X04B402013C336A85,133,20,0,21,88144,,
1204,39,0X04B402013C336A85,138,20,0,21,87878,,
1204,39,0X04B402013C336A85,138,20,0,21,87740,,
1204,39,0X04B402013C336A85,133,20,0,21,88277,,
1204,39,0X04B402013C336A85,133,20,0,21,88011,,
1204,39,0X04B402013C336A85,138,20,0,21,88415,,
1204,39,0X04B402013C336A85,133,20,0,21,88686,,
1204,39,0X04B402013C336A85,138,20,0,21,88553,,
1204,39,0X04B402013C336A85,138,20,0,21,89100,,
1204,39,0X04B402013C336A85,138,20,0,21,88962,,
1204,39,0X04B402013C336A85,138,20,0,21,89376,,
1204,39,0X04B402013C336A85,138,20,0,21,89238,,
1204,39,0X04B402013C336A85,138,20,0,21,88824,,
1204,39,0X04B402013C336A85,133,20,0,21,89775,,
1204,39,0X04B402013C336A85,133,20,0,21,89509,,
1204,39,0X04B402013C336A85,138,20,0,21,89913,,
1204,39,0X04B402013C336A85,133,20,0,21,89642,,
1204,39,0X04B402013C336A85,133,20,0,21,90046,,
1204,39,0X04B402013C336A85,133,20,0,21,90179,,
1204,39,0X04B402013C336A85,133,20,0,21,90312,,
1204,39,0X04B402013C336A85,138,20,0,21,90864,,
1204,39,0X04B402013C336A85,138,20,0,21,90726,,
1204,39,0X04B402013C336A85,138,20,0,21,90450,,
1204,39,0X04B402013C336A85,133,20,0,21,91130,,
1204,39,0X04B402013C336A85,133,20,0,21,90997,,
1204,39,0X04B402013C336A85,138,20,0,21,90588,,
1204,39,0X04B402013C336A85,138,20,0,21,91268,,
1204,39,0X04B402013C336A85,133,20,0,21,91401,,
1204,39,0X04B402013C336A85,138,20,0,21,6316,,
1204,39,0X04B402013C336A85,138,20,0,21,6045,,
1204,39,0X04B402013C336A85,138,20,0,21,6454,,
1204,39,0X04B402013C336A85,138,20,0,21,6730,,
1204,39,0X04B402013C336A85,133,20,0,21,6863,,
1204,39,0X04B402013C336A85,133,20,0,21,6996,,
1204,39,0X04B402013C336A85,138,20,0,21,6592,,
1204,39,0X04B402013C336A85,138,20,0,21,7267,,
1204,39,0X04B402013C336A85,133,20,0,21,7129,,
1204,39,0X04B402013C336A85,133,20,0,21,7400,,
1204,39,0X04B402013C336A85,133,20,0,21,7533,,
1204,39,0X04B402013C336A85,138,20,0,21,7809,,
1204,39,0X04B402013C336A85,138,20,0,21,7671,,
1204,39,0X04B402013C336A85,138,20,0,21,7947,,
1204,39,0X04B402013C336A85,138,20,0,21,8085,,
1204,39,0X04B402013C336A85,133,20,0,21,8218,,
1204,39,0X04B402013C336A85,133,20,0,21,8351,,
1204,39,0X04B402013C336A85,138,20,0,21,8622,,
1204,39,0X04B402013C336A85,133,20,0,21,8484,,
1204,39,0X04B402013C336A85,138,20,0,21,8760,,
1204,39,0X04B402013C336A85,138,20,0,21,9031,,
1204,39,0X04B402013C336A85,133,20,0,21,8893,,
1204,48,0X04B402013C336A85,2,20,0,10,203520,,
1204,48,0X04B402013C336A85,2,20,0,10,220846,,
